PROJETO_BASE,IDP_PROJETO,prompt
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Aquisição Equipamentos PJE
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Cadastro
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Gerenciamento
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Histórico / Legado
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Homologação da Solução
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Passagem de Conhecimento
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Projeto
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
001/24,2023-549-01,"Projeto: Projeto
IDP: 2023-549-01
Status Macro: Rollout
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
018/23,2022-134-01,"Projeto: Projeto
IDP: 2022-134-01
Status Macro: Passagem de Conhecimento
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
1006/25,2024-1012-01,"Projeto: Projeto
IDP: 2024-1012-01
Status Macro: Aquisição Equipamentos PJE
Objetos: nan
Apontamentos: Sem apontamentos

Com base nestas informações, responda em formato de resumo executivo:
1) Resumo do andamento em uma frase.
2) Principais riscos ou pendências em uma frase.
3) Uma mensagem curta sobre o status.
Use linguagem objetiva e concisa."
